Z ==> 0.1:0.001:12
Monter après contact ==> 500
Point de scan après sortir ==> 10000
Temps d'attendre ==> 10
Nombre acquis ==> 1
RF ==> 31834.7282
seuil de Fréquence ==> 0.300

Z	Frequency	Nothing	

Data
3.420000e-001	3.183446e+004	
3.430000e-001	3.183447e+004	
3.440000e-001	3.183446e+004	
3.450000e-001	3.183446e+004	
3.460000e-001	3.183446e+004	
3.470000e-001	3.183449e+004	
3.480000e-001	3.183447e+004	
3.490000e-001	3.183448e+004	
3.500000e-001	3.183446e+004	
3.510000e-001	3.183447e+004	
3.520000e-001	3.183445e+004	
3.530000e-001	3.183447e+004	
3.540000e-001	3.183447e+004	
3.550000e-001	3.183446e+004	
3.560000e-001	3.183447e+004	
3.570000e-001	3.183446e+004	
3.580000e-001	3.183448e+004	
3.590000e-001	3.183447e+004	
3.600000e-001	3.183447e+004	
3.610000e-001	3.183448e+004	
3.620000e-001	3.183446e+004	
3.630000e-001	3.183448e+004	
3.640000e-001	3.183446e+004	
3.650000e-001	3.183447e+004	
3.660000e-001	3.183448e+004	
3.670000e-001	3.183446e+004	
3.680000e-001	3.183447e+004	
3.690000e-001	3.183446e+004	
3.700000e-001	3.183447e+004	
3.710000e-001	3.183446e+004	
3.720000e-001	3.183446e+004	
3.730000e-001	3.183446e+004	
3.740000e-001	3.183445e+004	
3.750000e-001	3.183447e+004	
3.760000e-001	3.183446e+004	
3.770000e-001	3.183448e+004	
3.780000e-001	3.183447e+004	
3.790000e-001	3.183447e+004	
3.800000e-001	3.183447e+004	
3.810000e-001	3.183447e+004	
3.820000e-001	3.183445e+004	
3.830000e-001	3.183447e+004	
3.840000e-001	3.183446e+004	
3.850000e-001	3.183447e+004	
3.860000e-001	3.183448e+004	
3.870000e-001	3.183446e+004	
3.880000e-001	3.183447e+004	
3.890000e-001	3.183446e+004	
3.900000e-001	3.183447e+004	
3.910000e-001	3.183446e+004	
3.920000e-001	3.183447e+004	
3.930000e-001	3.183448e+004	
3.940000e-001	3.183446e+004	
3.950000e-001	3.183448e+004	
3.960000e-001	3.183447e+004	
3.970000e-001	3.183449e+004	
3.980000e-001	3.183447e+004	
3.990000e-001	3.183449e+004	
4.000000e-001	3.183446e+004	
4.010000e-001	3.183449e+004	
4.020000e-001	3.183447e+004	
4.030000e-001	3.183448e+004	
4.040000e-001	3.183447e+004	
4.050000e-001	3.183448e+004	
4.060000e-001	3.183448e+004	
4.070000e-001	3.183448e+004	
4.080000e-001	3.183449e+004	
4.090000e-001	3.183446e+004	
4.100000e-001	3.183449e+004	
4.110000e-001	3.183448e+004	
4.120000e-001	3.183448e+004	
